基金管理人简称,evaluation_pool,credibility_grade,formal_rank,annualized_valid_fund_count,active_contribution_valid_fund_count,median_annualized_fund_return,equal_weight_annualized_fund_return,nav_weighted_annualized_fund_return,median_annualized_three_asset_benchmark_return,median_annualized_excess_vs_three_asset,median_annualized_excess_vs_loo_peer,median_annualized_active_allocation_contribution,annualized_excess_positive_fund_ratio,active_contribution_positive_fund_ratio
汇丰晋信基金,观察池,观察池,,2,2,-0.003920367428151328,-0.003920367428151328,-0.004647771256649207,0.0525140151362099,-0.05643438256436123,-0.022525520290462564,0.008113631026851142,0.0,1.0
浙商证券资管,观察池,观察池,,1,1,0.02598378283263214,0.02598378283263214,0.02598378283263214,0.0901691373123723,-0.06418535447974016,-0.03936204193070858,0.007095602314839633,0.0,1.0
泓德基金,观察池,观察池,,1,1,-0.05503412806280161,-0.05503412806280161,-0.05503412806280161,0.048128396048997546,-0.10316252411179916,-0.11240560941348343,-0.009649684558485916,0.0,0.0
太平基金,观察池,观察池,,1,2,-0.11518594205455746,-0.11518594205455746,-0.11518594205455746,-0.010066622224262245,-0.10511931983029521,-0.14324896292120515,-0.002129030140427035,0.0,0.0
诺安基金,观察池,观察池,,1,1,-0.05674561335246331,-0.05674561335246331,-0.05674561335246331,0.07499035680329902,-0.13173597015576233,-0.08273539213336001,0.013480539739175068,0.0,1.0
西部利得基金,观察池,观察池,,2,2,-0.1372254325320747,-0.1372254325320747,-0.12214823395306323,0.07881675106382258,-0.21604218359589727,-0.1827480841929357,-0.004346672640684723,0.0,0.5
众盈基金,观察池,观察池,,0,0,,,,,,,,,
华润元大基金,观察池,观察池,,0,0,,,,,,,,,
同泰基金,观察池,观察池,,0,0,,,,,,,,,
国新国证基金,观察池,观察池,,0,1,,,,,,,-0.009332529253067268,,0.0
国联基金,观察池,观察池,,0,0,,,,,,,,,
恒越基金,观察池,观察池,,0,1,,,,,,,0.01110705577740001,,1.0
格林基金,观察池,观察池,,0,1,,,,,,,0.024328767405733975,,1.0
泰信基金,观察池,观察池,,0,1,,,,,,,-1.52821386986135e-05,,0.0
浦银安盛基金,观察池,观察池,,0,1,,,,,,,0.008041190865762715,,1.0
红塔红土,观察池,观察池,,0,1,,,,,,,0.000354550934318576,,1.0
英大基金,观察池,观察池,,0,1,,,,,,,-0.01611864958977216,,0.0
长城基金,观察池,观察池,,0,1,,,,,,,0.0016028158102647794,,1.0
